user_id,n.records
305,3
306,3
308,3
309,2
312,3
313,3
314,3
315,3
316,3
317,3
318,4
319,3
320,4
321,3
322,3
323,3
324,4
325,5
326,3
327,3
328,3
329,3
330,3
331,3
332,3
333,4
334,3
335,3
336,3
337,3
338,3
339,3
340,3
341,3
342,3
343,3
346,3
347,3
348,3
349,3
351,3
352,3
353,3
354,4
355,3
356,3
357,3
358,3
359,3
360,3
361,3
362,3
