id,session,session_seq,visit_id,ss_median_rt_accurate,ss_n_accurate,dm_median_error_distance,dm_mean_error_distance,cs_hit_rate,cs_fa_rate,cs_prop_correct,cs_correc,ss_seconds
325,1,1,325_1_2024-02-22,3313,18,5,5.6903559372884915,1,0,1,1,3.313
325,2,2,325_2_2024-02-22,3293.5,18,5,3.3333333333333335,0.2,0,0.6,0.2,3.2935
325,3,3,325_3_2024-02-22,2759.5,18,5,5,0.8,0.2,0.8,0.6000000000000001,2.7595
326,1,1,326_1_2024-03-11,1809,18,10,6.666666666666667,0.8,0.4,0.7,0.4,1.809
326,2,2,326_2_2024-03-11,2044,18,0,1.6666666666666665,0.6,0.4,0.6,0.19999999999999996,2.044
326,3,3,326_3_2024-03-11,1885,17,5,8.333333333333334,0.8,0,0.9,0.8,1.885
327,1,1,327_1_2024-03-14,3599,17,10,8.72677996249965,0.2,0,0.6,0.2,3.599
327,2,2,327_2_2024-03-14,2802,18,20,15.690355937288492,0.4,0,0.7,0.4,2.802
327,3,3,327_3_2024-03-14,2411.5,18,12.071067811865476,15.797847774365126,0.8,0,0.9,0.8,2.4115
328,1,1,328_1_2024-03-26,1719,15,12.071067811865476,9.714045207910317,0.6,0.2,0.7,0.39999999999999997,1.719
328,2,2,328_2_2024-03-26,1948,17,15,15.690355937288492,0.6,0.2,0.7,0.39999999999999997,1.948
328,3,3,328_3_2024-03-26,2402,15,17.071067811865476,11.7741585037433,0.4,0.2,0.6,0.2,2.402
329,1,1,329_1_2024-04-02,4200,18,19.14213562373095,20.404401145198808,0.4,0.4,0.5,0,4.2
329,2,2,329_2_2024-04-02,2842.5,18,21.213203435596427,22.341530578812776,0.2,0.2,0.5,0,2.8425
329,3,3,329_3_2024-04-02,3834,18,28.027756377319946,20.723297333683632,0.4,0.6,0.4,-0.19999999999999996,3.834
330,1,1,330_1_2024-04-11,2161.5,18,0,5,0.6,0.4,0.6,0.19999999999999996,2.1615
330,2,2,330_2_2024-04-11,2334,18,10,10,0.4,0,0.7,0.4,2.334
330,3,3,330_3_2024-04-11,2135.5,18,0,4.714045207910317,0.8,0,0.9,0.8,2.1355
331,1,1,331_1_2024-04-29,3934,18,21.18033988749895,21.477249195621123,1,0.2,0.9,0.8,3.934
331,2,2,331_2_2024-04-29,2900.5,18,12.071067811865476,13.047378541243651,1,0,1,1,2.9005
331,3,3,331_3_2024-04-29,2526,18,7.0710678118654755,7.3570226039551585,0.4,0.2,0.6,0.2,2.526
332,1,1,332_1_2024-07-10,3290,18,7.0710678118654755,9.417135899788141,0.4,0,0.7,0.4,3.29
332,2,2,332_2_2024-07-10,2884.5,18,5,8.047378541243651,0,0,0.5,0,2.8845
332,3,3,332_3_2024-07-10,4035,18,22.071067811865476,19.023689270621826,0.2,0,0.6,0.2,4.035
333,1,1,333_1_2024-05-09,2714.5,18,5,3.3333333333333335,0,0.2,0.4,-0.2,2.7145
333,2,2,333_2_2024-05-09,3126.5,18,5,3.3333333333333335,0.2,0.2,0.5,0,3.1265
333,3,3,333_3_2024-05-09,3968.5,18,0,5,0.2,0,0.6,0.2,3.9685
334,1,1,334_1_2024-05-07,2067,18,5,6.666666666666667,0.6,0.4,0.6,0.19999999999999996,2.067
334,2,2,334_2_2024-05-07,2092,18,0,1.6666666666666665,0.8,0.2,0.8,0.6000000000000001,2.092
334,3,3,334_3_2024-05-07,1836,15,0,3.333333333333333,0.8,0.4,0.7,0.4,1.836
335,1,1,335_1_2024-05-13,3951,17,10,9.023689270621825,0.2,0,0.6,0.2,3.951
335,2,2,335_2_2024-05-13,3235,17,5,3.3333333333333335,0.2,0,0.6,0.2,3.235
335,3,3,335_3_2024-05-13,2800,17,0,0,0.6,0,0.8,0.6,2.8
