task,n_persons,n_occasions,i,Var_BP,Var_WP,Var_WPocc,Var_WPtrial,Var_WPocc_mom
"Symbol Search (median RT, accurate trials)",52,155,17.516129032258064,466882.2965300486,170614.48667574258,62365.0169207561,1653987.6937539421,62261.61781165951
Dot Memory (Euclidean error distance),52,155,3,1.8765056510111524,1.5896443799006963,5.328692888680693e-10,4.946519735826746,-0.07739730858260252
Color Shapes (CorRec = HIT - FA),52,155,2,0.04340814741376854,0.07525498146629554,0.01797620699182219,0.13893959763283253,0.018102823305610694
